964724,940007,929931,863541,912999,9.01E+05
1461240,1480956,1619543,1869849,1876950,2.08E+06
864843,30000,0,17852,466545,3.40E+05
668803,668803,668803,668803,668801,6.60E+05
398580,401000,351769,378814,529095,5.13E+05
1657545,1694073,1681192,14135167,301847,2.08E+06
1347529,1372622,1418471,1387676,1475312,1.40E+06
45715633,40343879,38714966,31790792,30437940,2.38E+07
725917,742463,783881,783007,826646,6.60E+05
999219,2293,6395,5947,3632,3.40E+05
771775,847642,726297,1928121,383466,6.60E+05
2900974,3001209,3414885,3363555,3588882,2.84E+06
1297927,1272258,1424061,1265449,1322921,1.40E+06
421445,333269,1437619,466851,310070,5.49E+05
21815,21815,21815,35408,18179,3.40E+05
